Car_label	Car_name	Car_type	mass	width	height	color_score
1	Toyotta	corolla  	190	9.4	9.3	1.55
1	Toyotta	corolla 	170	7.0	8.8	1.59
1	Toyotta	corolla 	166	6.4	6.2	1.60
2	marutia  	Mehran 	        85 	5.2	4.7	1.80
2	marutia 	Mehran  	44 	8.0	5.6	0.79
2	maruti	        Mehran  	30 	5.8	6.3	0.77
2	maruti	        Mehran  	20 	7.9 	7.3	0.81
2	maruti 	        Mehran  	96	4.8	8.0	0.81
1	Toyotta	Honda   	 678	1.1	3.8	0.92
1	Toyotta	Honda            872	7.4	2.0	0.89
1	Toyotta	Honda            66	6.9	1.3	0.93
1	Toyotta	Honda            172	7.1	7.6	0.92
1	Toyotta	Honda            154	7.0	7.1	0.88
1	Toyotta	City     	        164	7.3	7.7	0.70
1	Toyotta	City    	        152	7.6	7.3     0.69
1	Toyotta	City    	        156	7.7	7.1	0.69
1	Toyotta	City    	        156	7.6	7.5	0.67
1	Toyotta	City    	        168	7.5	7.6     0.73
1	Toyotta	Suzuki  	162	7.5	7.1     0.83
1	Toyotta	Suzuki  	162	7.4	7.2	0.85
1	Toyotta	Suzuki  	160	7.5	7.5	0.86
1	Toyotta	Suzuki          156	7.4	7.4	0.84
1	Toyotta	Suzuki   	140	7.3	7.1	0.87
1	Toyotta	Suzuki   	170	7.6	7.9	0.88
3	BMW	jumbo   	342	9.0	9.4	0.75
3	BMW	jumbo   	356	9.2	9.2	0.75
3	BMW	jumbo   	362	9.6	9.2	0.74
3	BMW	jumbo   	        204	7.5	9.2	0.77
3	BMW	jumbo   	        140	6.7	7.1	0.72
3	BMW	jumbo   	        160	7.0	7.4	0.81
3	BMW	jumbo   	        158	7.1	7.5	0.79
3	BMW	jumbo   	        210	7.8	8.0	0.82
3	BMW	jumbo   	        164	7.2	7.0	0.80
3	BMW	navel   	190	7.5	8.1	0.74
3	BMW	navel	        142	7.6	7.8	0.75
3	BMW	navel	        150	7.1	7.9	0.75
3	BMW	navel	        160	7.1	7.6	0.76
3	BMW	navel	        154	7.3	7.3	0.79
3	BMW	navel     	158	7.2	7.8	0.77
3	BMW	navel   	144	6.8	7.4	0.75
3	BMW	navel   	154	7.1	7.5	0.78
3	BMW	navel   	180	7.6	8.2	0.79
3	BMW	navel   	154	7.2	7.2	0.82
4	Suizer	belsan  	194	7.2	10.3	0.70
4	Suizer	belsan   	200	7.3	10.5	0.72
4	Suizer	belsan	        186	7.2	9.2	0.72
4	Suizer	belsan   	216	7.3	10.2	0.71
4	Suizer	belsan   	196	7.3	9.7	0.72
4	Suizer	belsan   	174	7.3	10.1	0.72
4	Suizer	unknown         132	5.8	8.7	0.73
4	Suizer	unknown  	130	6.0	8.2	0.71
4	Suizer	unknown  	116	6.0	7.5	0.72
4	Suizer	unknown  	118	5.9	8.0	0.72
4	Suizer	unknown  	120	6.0	8.4	0.74
4	Suizer	unknown  	116	6.1	8.5	0.71
4	Suizer	unknown  	116	6.3	7.7	0.72
4	Suizer	unknown 	116	5.9	8.1	0.73
4	Suizer	unknown 	152	6.5	8.5	0.72
4	Suizer	unknown 	118	6.1	8.1	0.70
